Work,Theme,Type
The War of the Worlds,brother and brother,minor
The War of the Worlds,alien point of view,minor
The War of the Worlds,gender neutral being,minor
The War of the Worlds,telepathic being,minor
The War of the Worlds,the future of human evolution,minor
The War of the Worlds,death ray,minor
The War of the Worlds,chemical weapons,minor
The War of the Worlds,civilians suffering in war,minor
The War of the Worlds,atrocities of war,minor
Twenty Thousand Leagues Under the Seas,voyage under the sea,choice
Twenty Thousand Leagues Under the Seas,speculative submarine,major
Twenty Thousand Leagues Under the Seas,human vs. captivity,major
Twenty Thousand Leagues Under the Seas,bird in a gilded cage,major
Twenty Thousand Leagues Under the Seas,the thirst for knowledge,major
Twenty Thousand Leagues Under the Seas,master and servant,major
Twenty Thousand Leagues Under the Seas,misanthropy,major
Twenty Thousand Leagues Under the Seas,the desire for vengeance,major
Twenty Thousand Leagues Under the Seas,the desire to get away from it all,major
Twenty Thousand Leagues Under the Seas,anger,minor
Twenty Thousand Leagues Under the Seas,collecting objects,minor
Twenty Thousand Leagues Under the Seas,electricity,minor
Twenty Thousand Leagues Under the Seas,pleasure in nature,minor
Twenty Thousand Leagues Under the Seas,hunting,minor
Twenty Thousand Leagues Under the Seas,speculative weapon,minor
Twenty Thousand Leagues Under the Seas,fishing,minor
Twenty Thousand Leagues Under the Seas,facing bloodthirsty savages,minor
Twenty Thousand Leagues Under the Seas,coping with the death of someone,minor
Twenty Thousand Leagues Under the Seas,human vs. beast,minor
Twenty Thousand Leagues Under the Seas,helping a stranger in need,minor
Twenty Thousand Leagues Under the Seas,colonialism,minor
Twenty Thousand Leagues Under the Seas,Atlantis,minor
Twenty Thousand Leagues Under the Seas,endangered species,minor
Twenty Thousand Leagues Under the Seas,polar exploration,minor
Twenty Thousand Leagues Under the Seas,coping with the death of one's entire family,minor
We,totalitarian dystopia,choice
We,romantic love,choice
We,future point of view,major
We,love triangle,major
We,disintegration chamber,minor
We the Living,communist dystopia,choice
We the Living,totalitarian dystopia,choice
We the Living,revolution in society,major
We the Living,discrimination in society,major
We the Living,inherited liability,major
We the Living,romantic love,major
We the Living,realist vs. idealist,major
We the Living,sacrifice for a loved one,major
We the Living,love triangle,major
We the Living,sexual norms in society,minor
We the Living,having a baby out of wedlock,minor
We the Living,police brutality,minor
The Celestial Omnibus,what if I met an historical figure,choice
The Celestial Omnibus,poetry,choice
The Celestial Omnibus,literature appreciation,choice
The Celestial Omnibus,the value of imagination,choice
The Celestial Omnibus,father and son,major
The Celestial Omnibus,what if I told the truth and nobody would believe me,major
The Celestial Omnibus,childhood imaginary friend,major
The Celestial Omnibus,escape from reality,major
The Magic Flute,epic love,choice
The Magic Flute,choosing between conflicting loyalties,choice
The Magic Flute,man vs. woman,choice
The Magic Flute,handing over the mantle before retirement,major
The Magic Flute,mother and daughter,major
The Magic Flute,father and daughter,major
The Magic Flute,love triangle,major
The Magic Flute,the need for companionship,major
The Magic Flute,patricide,minor
The Magic Flute,coping with an obnoxious chatterbox,minor
Arms and the Man,the senselessness of war,major
Arms and the Man,the horrors of war,major
Arms and the Man,infatuation,major
Arms and the Man,love triangle,major
Arms and the Man,engaged couple,major
Arms and the Man,mother and daughter,minor
Arms and the Man,husband and wife,minor
Arms and the Man,father and daughter,minor
Arms and the Man,rivalry,minor
Candida,love triangle,major
Candida,infatuation,major
Candida,obsessive love,major
Candida,unrequited love,major
Candida,husband and wife,major
Candida,the nature of love,major
Candida,the battle of the sexes,major
Candida,romantic jealousy,major
Candida,test of love,minor
Candida,epic love,minor
Major Barbara,arms trade,major
Major Barbara,realist vs. idealist,major
Major Barbara,inheritance fight,major
Major Barbara,husband and wife,major
Major Barbara,mother and son,major
Major Barbara,father and son,major
Major Barbara,father and daughter,major
Major Barbara,mother and daughter,major
Major Barbara,the senselessness of war,minor
Major Barbara,the horrors of war,minor
Man and Superman,female sexuality,major
Man and Superman,romantic courtship,major
Man and Superman,hominid evolution,major
Man and Superman,the future of human evolution,major
Man and Superman,mother and daughter,minor
Man and Superman,father and daughter,minor
Man and Superman,coping with the death of a parent,minor
Man and Superman,female independence,minor
Man and Superman,rivalry,minor
Misalliance,human sexuality,major
Misalliance,female sexuality,major
Misalliance,romantic courtship,major
Misalliance,the nature of love,major
Misalliance,engaged couple,major
Misalliance,father and daughter,major
Misalliance,young and old romance,major
Misalliance,love triangle,major
Misalliance,infatuation,major
Misalliance,the desire for vengeance,minor
Misalliance,mother and son,minor
